epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9913,3.12238,9.67463,0.76634,9.62174,4.69477,0,0,0,0,0,0,0,0,3.15397,8.60506,0.7008,5.91926,4.15835,8e-05,8e-05,8e-05
2,81.7311,2.9182,9.37675,0.75656,8.99331,4.53133,0,0,0,0,0,0,0,0,3.15252,8.6017,0.70127,5.918,4.1584,0.00016218,0.00016218,0.00016218
3,122.466,2.82989,9.06927,0.70381,8.67884,4.30395,0,0,0,0,0,0,0,0,3.15307,8.5991,0.70193,5.91632,4.15971,0.00022456,0.00022456,0.00022456
4,163.295,2.79525,8.83895,0.66933,8.02476,4.16896,0.00018,0.05263,0.0001,3e-05,0,0,0,0,3.15517,8.59885,0.70272,5.91259,4.16169,0.00026714,0.00026714,0.00026714
5,203.979,2.82941,8.32603,0.68641,7.69786,4.13073,0,0,0,0,0,0,0,0,3.15932,8.60976,0.70422,5.9007,4.16557,0.00028992,0.00028992,0.00028992
6,244.714,2.63743,8.19469,0.66136,7.46837,4.05301,0,0,0,0,0,0,0,0,3.16287,8.62118,0.70549,5.8867,4.16906,0.0002929,0.0002929,0.0002929
7,285.483,2.60738,8.06512,0.67043,7.19858,3.9767,0,0,0,0,0,0,0,0,3.16911,8.63931,0.70782,5.85748,4.17575,0.00027608,0.00027608,0.00027608
8,326.262,2.51104,8.03498,0.61195,7.03288,3.92574,0,0,0,0,0,0,0,0,3.17564,8.65802,0.70995,5.83714,4.18184,0.00023946,0.00023946,0.00023946
9,367.08,2.49783,7.70499,0.59346,6.62979,3.82824,0,0,0,0,0,0,0,0,3.18893,8.66402,0.71367,5.80778,4.19329,0.00018304,0.00018304,0.00018304
10,408.11,2.71466,7.56958,0.57372,7.02013,3.76592,0,0,0,0,0,0,0,0,3.19695,8.6692,0.71599,5.78534,4.2009,0.00010682,0.00010682,0.00010682
